Designator,Mid X,Mid Y,Rotation,Layer
D1,35.9775,-35.915,90.0,bottom
D10,245.5275,-35.915,90.0,bottom
D11,264.5775,-35.915,90.0,bottom
D12,283.6275,-35.915,90.0,bottom
D13,302.6775,-35.915,90.0,bottom
D14,350.3025,-35.915,90.0,bottom
D15,369.3525,-35.915,90.0,bottom
D16,35.9775,-64.49,90.0,bottom
D17,55.0275,-64.49,90.0,bottom
D18,74.0775,-64.49,90.0,bottom
D19,93.1275,-64.49,90.0,bottom
D2,74.0775,-35.915,90.0,bottom
D20,112.1775,-64.49,90.0,bottom
D21,131.2275,-64.49,90.0,bottom
D22,150.2775,-64.49,90.0,bottom
D23,169.3275,-64.49,90.0,bottom
D24,188.3775,-64.8025,90.0,bottom
D25,207.4275,-64.49,90.0,bottom
D26,226.4775,-64.49,90.0,bottom
D27,245.5275,-64.49,90.0,bottom
D28,331.2525,-35.915,90.0,bottom
D29,350.3025,-64.49,90.0,bottom
D3,93.1275,-35.915,90.0,bottom
D30,369.3525,-64.49,90.0,bottom
D31,40.74,-83.54,90.0,bottom
D32,64.5525,-83.06375,90.0,bottom
D33,83.6025,-83.54,90.0,bottom
D34,102.6525,-83.54,90.0,bottom
D35,121.7025,-83.54,90.0,bottom
D36,140.7525,-83.54,90.0,bottom
D37,159.8025,-83.54,90.0,bottom
D38,178.8525,-83.8525,90.0,bottom
D39,197.9025,-83.54,90.0,bottom
D4,112.1775,-35.915,90.0,bottom
D40,216.9525,-83.54,90.0,bottom
D41,236.0025,-83.54,90.0,bottom
D42,255.0525,-83.54,90.0,bottom
D43,331.2525,-64.49,90.0,bottom
D44,350.3025,-83.54,90.0,bottom
D45,369.3525,-83.54,90.0,bottom
D46,45.5025,-102.59,90.0,bottom
D47,69.315,-102.59,90.0,bottom
D48,88.365,-102.59,90.0,bottom
D49,107.415,-102.59,90.0,bottom
D5,131.2275,-35.915,90.0,bottom
D50,126.465,-102.59,90.0,bottom
D51,145.515,-102.59,90.0,bottom
D52,164.565,-102.59,90.0,bottom
D53,183.615,-102.59,90.0,bottom
D54,202.665,-102.59,90.0,bottom
D55,221.715,-102.6325,90.0,bottom
D56,240.765,-102.6325,90.0,bottom
D57,259.815,-102.59,90.0,bottom
D58,331.2525,-83.54,90.0,bottom
D59,264.5775,-64.49,90.0,bottom
D6,159.8025,-35.915,90.0,bottom
D60,274.1025,-83.54,90.0,bottom
D61,38.35875,-121.64,90.0,bottom
D62,62.17125,-121.64,90.0,bottom
D63,81.22125,-121.64,90.0,bottom
D64,100.27125,-121.64,90.0,bottom
D65,119.32125,-121.64,90.0,bottom
D66,138.37125,-121.64,90.0,bottom
D67,157.42125,-121.64,90.0,bottom
D68,176.47125,-121.64,90.0,bottom
D69,195.52125,-121.64,90.0,bottom
D7,178.8525,-35.915,90.0,bottom
D70,214.57125,-121.64,90.0,bottom
D71,233.62125,-121.64,90.0,bottom
D72,252.67125,-121.64,90.0,bottom
D73,331.2525,-121.64,90.0,bottom
D74,350.3025,-121.9525,90.0,bottom
D75,369.3525,-121.64,90.0,bottom
D76,38.35875,-140.69,90.0,bottom
D77,62.17125,-140.69,90.0,bottom
D78,85.98375,-140.69,90.0,bottom
D79,294.35655,-64.49,90.0,bottom
